title,author,language,genre,archive_link,identifier,cover_url,download_url
"Impact of Conflict Situation on Mental Health in Srinagar, Kashmir",Unknown,English,Academic & Research,https://archive.org/details/burzahom-ihdnamakashmir,burzahom-ihdnamakashmir,https://archive.org/services/img/burzahom-ihdnamakashmir,https://archive.org/download/burzahom-ihdnamakashmir/burzahom-ihdnamakashmir.pdf
South Asia Media Framing Kashmir,Unknown,English,Journalism & Media,https://archive.org/details/burzahom-gae-ja-kashmir,burzahom-gae-ja-kashmir,https://archive.org/services/img/burzahom-gae-ja-kashmir,https://archive.org/download/burzahom-gae-ja-kashmir/burzahom-gae-ja-kashmir.pdf
Khalistan & Kashmir: A Tale of Two Conflicts,Unknown,English,Politics & Law,https://archive.org/details/burzahom-jalta-hua-kashmir,burzahom-jalta-hua-kashmir,https://archive.org/services/img/burzahom-jalta-hua-kashmir,https://archive.org/download/burzahom-jalta-hua-kashmir/burzahom-jalta-hua-kashmir.pdf
Kashmir in the Shadow of War,Unknown,English,Politics & Law,https://archive.org/details/burzahom-jammu-and-kashmir-on-the-eve-of-partition,burzahom-jammu-and-kashmir-on-the-eve-of-partition,https://archive.org/services/img/burzahom-jammu-and-kashmir-on-the-eve-of-partition,https://archive.org/download/burzahom-jammu-and-kashmir-on-the-eve-of-partition/burzahom-jammu-and-kashmir-on-the-eve-of-partition.pdf
Kashmir Shaivism,Unknown,English,Religion & Philosophy,https://archive.org/details/burzahom-kashmakash,burzahom-kashmakash,https://archive.org/services/img/burzahom-kashmakash,https://archive.org/download/burzahom-kashmakash/burzahom-kashmakash.pdf
Orientalism and the Invention of Kashmiri Religion(s),Unknown,English,Academic & Research,https://archive.org/details/burzahom-kashmir-prediction,burzahom-kashmir-prediction,https://archive.org/services/img/burzahom-kashmir-prediction,https://archive.org/download/burzahom-kashmir-prediction/burzahom-kashmir-prediction.pdf
Powerful Pawns of the Kashmir Conflict: Kashmiri Pandit Migrants,Unknown,English,Academic & Research,https://archive.org/details/burzahom-kashmir-and-tibet,burzahom-kashmir-and-tibet,https://archive.org/services/img/burzahom-kashmir-and-tibet,https://archive.org/download/burzahom-kashmir-and-tibet/burzahom-kashmir-and-tibet.pdf
Kashmiri Society as Reflected in Folk Literature (1819-1947),Unknown,English,"Art, Culture & Archaeology",https://archive.org/details/burzahom-kashmiri-futures,burzahom-kashmiri-futures,https://archive.org/services/img/burzahom-kashmiri-futures,https://archive.org/download/burzahom-kashmiri-futures/burzahom-kashmiri-futures.pdf
"Resolving the Kashmir Conflict: Pakistan, India, Kashmiris and Religious Militants",Unknown,English,Politics & Law,https://archive.org/details/burzahom-kashmiri-lyrics,burzahom-kashmiri-lyrics,https://archive.org/services/img/burzahom-kashmiri-lyrics,https://archive.org/download/burzahom-kashmiri-lyrics/burzahom-kashmiri-lyrics.pdf
Kashmir: Exposing the Myth Behind the Narrative,Unknown,English,Politics & Law,https://archive.org/details/burzahom-kashmiri-proverbs,burzahom-kashmiri-proverbs,https://archive.org/services/img/burzahom-kashmiri-proverbs,https://archive.org/download/burzahom-kashmiri-proverbs/burzahom-kashmiri-proverbs.pdf
Nehru's Legacy in Kashmir: Why a Plebiscite Never Happened,Unknown,English,History,https://archive.org/details/burzahom-king-lear-in-kashmiri,burzahom-king-lear-in-kashmiri,https://archive.org/services/img/burzahom-king-lear-in-kashmiri,https://archive.org/download/burzahom-king-lear-in-kashmiri/burzahom-king-lear-in-kashmiri.pdf
Muslim Life and Rituals in Kashmir,Unknown,English,Religion & Philosophy,https://archive.org/details/burzahom-kashmir,burzahom-kashmir,https://archive.org/services/img/burzahom-kashmir,https://archive.org/download/burzahom-kashmir/burzahom-kashmir.pdf
Sheikh Mohammad Abdullah of Kashmir (1965-1975): From Externment to Accord,Unknown,English,Biography/Memoir,https://archive.org/details/burzahom-kashmir-19471965,burzahom-kashmir-19471965,https://archive.org/services/img/burzahom-kashmir-19471965,https://archive.org/download/burzahom-kashmir-19471965/burzahom-kashmir-19471965.pdf
The Story of My Escape,Unknown,English,Biography/Memoir,https://archive.org/details/burzahom-the-history-of-jammu--kashmir-18851925,burzahom-the-history-of-jammu--kashmir-18851925,https://archive.org/services/img/burzahom-the-history-of-jammu--kashmir-18851925,https://archive.org/download/burzahom-the-history-of-jammu--kashmir-18851925/burzahom-the-history-of-jammu--kashmir-18851925.pdf
