No.,Title,Author,Genre,Language,archive_link,cover_url,download_url
139,Artisan of the Paradise: Art and Artisans of Kashmir,D. N. Dhar,"Art, Culture & Archaeology",English,,,
140,Farooq of Kashmir,Ashwini Bhatnagar,Biography/Memoir,English,,,
141,Assassinations & Bloodied Rivers of Kashmir,Unknown,Human Rights & Conflict,English,,,
142,Assessment of Birth Control Measures Among Women in Reproductive Age,Unknown,Academic & Research,English,,,
143,Resisting Disappearance: Enforced Disappearances in Kashmir,Ather Zia,Human Rights & Conflict,English,,,
144,A Desolation Called Peace: Voices from Kashmir,Ather Zia & Javaid Iqbal Bhat (Editors),Human Rights & Conflict,English,,,
145,Resisting Disappearance,Ather Zia,Human Rights & Conflict,English,https://archive.org/details/burzahom-resisting-disappearance,https://archive.org/services/img/burzahom-resisting-disappearance,https://archive.org/download/burzahom-resisting-disappearance/burzahom-resisting-disappearance.pdf
146,Islamic Nations and Kashmir Problem,Attar Chand,Politics & Law,English,https://archive.org/details/burzahom-islamic-nations-and-kashmir-problem,https://archive.org/services/img/burzahom-islamic-nations-and-kashmir-problem,https://archive.org/download/burzahom-islamic-nations-and-kashmir-problem/burzahom-islamic-nations-and-kashmir-problem.pdf
147,Auliya-e-Kashmir (Saints of Kashmir),Unknown,Religion & Philosophy,Urdu,,,
148,Aurad-e-Fatiha (Prayers & Supplications),Unknown,Religion & Philosophy,Urdu/Arabic,,,
149,Aurat Dalla (Novel),Unknown,Fiction,Urdu,,,
150,Autonomy Report: Jammu Kashmir,Unknown,Politics & Law,English,,,
151,Averting the Catastrophic India-Pak War,Arjimand Hussain Talib,Politics & Law,English,,,
152,Awraad-e-Fatiha (Prayers),Unknown,Religion & Philosophy,Urdu/Arabic,,,
153,Azad Jammu Kashmir Interim Constitution Act 1974,Government of AJK,Politics & Law,English,,,
154,Azad Kashmir and British Kashmiris,Unknown,Academic & Research,English,,,
155,Azadi (Freedom - Novel),Arundhati Roy,Fiction,English,,,
156,Azadi Kashmir Ka Nara (The Slogan of Kashmir's Freedom),Unknown,Politics & Law,Urdu,,,
157,Azadi Ki Talash - Part 1 (Search for Freedom),Unknown,History,Urdu,,,
158,Azadi Ki Talash - Part 2,Unknown,History,Urdu,,,
159,Azadi Ki Talash - Part 3,Unknown,History,Urdu,,,
160,Azadi Ki Talash - Part 4,Unknown,History,Urdu,,,
