No.,Title,Author,Genre,Language,archive_link,cover_url,download_url
483,Himalayan and Kashmiri Birds,Douglas Dewar,Natural Sciences,English,,,
484,Independent Kashmir - An Incomplete Aspiration,Christopher Snedden,Politics & Law,English,,,
485,India 2020 Human Rights Report,US Government,Human Rights & Conflict,English,,,
486,"India, Pakistan and the Secret Jihad",Praveen Swami,Politics & Law,English,https://archive.org/details/burzahom-india-pakistan-and-the-secret-jihad,https://archive.org/services/img/burzahom-india-pakistan-and-the-secret-jihad,https://archive.org/download/burzahom-india-pakistan-and-the-secret-jihad/burzahom-india-pakistan-and-the-secret-jihad.pdf
487,"India - Torture, Rape and Deaths in Custody",Unknown,Human Rights & Conflict,English,,,
488,Indian Kashmir - Freedom in the World 2022,Freedom House,Human Rights & Conflict,English,,,
489,India's Potential Endgame in Kashmir,Unknown,Politics & Law,English,https://archive.org/details/burzahom-a-crusader-in-kashmir,https://archive.org/services/img/burzahom-a-crusader-in-kashmir,https://archive.org/download/burzahom-a-crusader-in-kashmir/burzahom-a-crusader-in-kashmir.pdf
490,India's War Crimes in Kashmir,Unknown,Human Rights & Conflict,English,,,
491,India's Sniper War Against Civilians,Unknown,Human Rights & Conflict,English,,,
492,Influence of Tajik Language on Kashmiri Language,Unknown,Language & Linguistics,English,,,
493,Inkashaaf,Mohd Sultan Alhaq,Poetry & Literature,Urdu,,,
494,"Muslim Women, Agency and Resistance Politics",Inshah Malik,Academic & Research,English,,,
495,Inside Kashmir,Prem Nath Bazaz,Politics & Law,English,https://archive.org/details/burzahom-historic-kashmir,https://archive.org/services/img/burzahom-historic-kashmir,https://archive.org/download/burzahom-historic-kashmir/burzahom-historic-kashmir.pdf
496,Inside Indian-Held Kashmir,Unknown,Politics & Law,English,,,
497,Inside Occupied Kashmir Today,Unknown,Politics & Law,English,,,
498,Inter-communal Relations Jammu and Kashmir,Nirmal Singh,Academic & Research,English,https://archive.org/details/burzahom-intercommunal-relations-jammu-and-kashmir,https://archive.org/services/img/burzahom-intercommunal-relations-jammu-and-kashmir,https://archive.org/download/burzahom-intercommunal-relations-jammu-and-kashmir/burzahom-intercommunal-relations-jammu-and-kashmir.pdf
499,Internet Shutdown in Digital India,Human Rights Watch,Human Rights & Conflict,English,,,
500,Internet Shutdown in Kashmir,American Bar Association,Human Rights & Conflict,English,,,
501,Involvement of Adolescents in Armed Conflict,Unknown,Human Rights & Conflict,English,,,
502,In Search of Return - Mourning the Disappearances in Kashmir,Shifa,Human Rights & Conflict,English,,,
503,In the Valley of Mist - Kashmir's Long War,Unknown,Biography/Memoir,English,,,
504,Iqbal Aur Tehreek-e-Azaadi-e-Kashmir,Unknown,History,Urdu,,,
505,Iqbal Aur Kashmir,Dr. Saber Afaqi,Academic & Research,Urdu,,,
506,Kashmir Archaeology,Iqbal Ahmad,"Art, Culture & Archaeology",English,,,
507,Issues and Problems Faced by Children in Conflict,Unknown,Human Rights & Conflict,English,,,
508,J&K Tourism Directory 1984,Directorate of Tourism Kashmir,Reference Works,English,,,
509,Jaam-e-Erfaan,Meerak Shah Kashani,Poetry & Literature,Persian/Urdu,,,
510,Red Menace in Kashmir,Jagan Nath Sathu,Politics & Law,English,,,
511,Jahaan-e-Khayal,Ghulam Nabi Khayal,Poetry & Literature,Urdu,,,
512,Jahan Hamd-o-Naat Volume 2,Various,Poetry & Literature,Urdu,,,
513,Jalta Hua Kashmir,Sorya Khursheed,Politics & Law,Urdu,,,
514,"Jama Masjid Srinagar - Taruf, Tameer Aur Tareekh",Anjuman Auqaf,History,Urdu,,,
515,Jammu - Kashmir - Ladakh,Parvez Dewan,Travelogue,English,https://archive.org/details/burzahom-jammu--kashmir--ladakh,https://archive.org/services/img/burzahom-jammu--kashmir--ladakh,https://archive.org/download/burzahom-jammu--kashmir--ladakh/burzahom-jammu--kashmir--ladakh.pdf
516,Jammu and Kashmir,Jyoti Bhusan Das Gupta,History,English,https://archive.org/details/burzahom-jammu-and-kashmir,https://archive.org/services/img/burzahom-jammu-and-kashmir,https://archive.org/download/burzahom-jammu-and-kashmir/burzahom-jammu-and-kashmir.pdf
517,Jammu Fox,Unknown,Fiction,English,,,
518,Jammu Kashmir ki Jugrafeyai Haqiqatn,G.M. Mir,Reference Works,Urdu,,,
519,Jammu - Bloodied Rivers of Kashmir,Unknown,History,English,,,
520,Jammu and Kashmir on the Eve of Partition,Unknown,History,English,,,
521,Jang Te Aman Vol 1 (War and Peace),Leo Tolstoy (Trans.),Fiction,Kashmiri,,,
522,Jang Te Aman Vol 2 (War and Peace),Leo Tolstoy (Trans.),Fiction,Kashmiri,,,
523,Jang Te Aman Vol 3 (War and Peace),Leo Tolstoy (Trans.),Fiction,Kashmiri,,,
524,Jehlim Ka Teesra Kinara,Zahid Mukhtar,Fiction,Urdu,,,
525,Jehnamuk Panun Panun Naar,Akhter Mohiuddin,Fiction,Kashmiri,,,
526,Jhad-e-Musalsal Vol 1,Amanullah Khan,Biography/Memoir,Urdu,,,
527,Jhad-e-Musalsal Vol 2,Amanullah Khan,Biography/Memoir,Urdu,,,
528,Jhad-e-Musalsal Vol 3,Amanullah Khan,Biography/Memoir,Urdu,,,
529,Jihad-e-Musalsal,Amanullah Khan,Biography/Memoir,Urdu,,,
530,JKCCS Annual Human Rights Review 2017,JKCCS,Human Rights & Conflict,English,,,
531,JKLF Evidence Dossier - APPG Inquiry,JKLF,Government Documents & Reports,English,,,
532,Jungi Deenwar,Unknown,Fiction,Urdu/Kashmiri,,,
533,Jurm Tei Saza,Shamshad Kralei Waari,Fiction,Urdu,,,
534,Justice Abdul Majeed Malik,Unknown,Biography/Memoir,English,,,
535,J&K Mai Urdu Adab Ki Nashonuma,Unknown,Academic & Research,Urdu,,,
536,Buddhism in Kashmir & Ladakh,J.N. Ganhar & P.N. Ganhar,Religion & Philosophy,English,,,
537,Kaashur Imla Tu Amyuk Irtiqa,Syed Rasool Pompur,Language & Linguistics,Urdu,,,
538,Kahani Kahar Kahar Di,Abdul Rasheed Lone,Fiction,Kashmiri,,,
539,Kahani Ghar Ghar Di,Abdul Rashid Lone,Fiction,Pahari,,,
540,Kalaam (Bai Nuqteh),Ayub Sabir,Poetry & Literature,Urdu,,,
541,Kalaam-e-Momin Sahib,G.R. Hasrat (Compiler),Poetry & Literature,Urdu,,,
542,Kalam Shara Mokhreen,Unknown,Poetry & Literature,Urdu/Kashmiri,,,
543,Kalaam-e-Sheikh-ul-Alam,Sheikh-ul-Alam,Poetry & Literature,Kashmiri,,,
544,Kalami Hazrat Sheikh-ul-Alam,Sheikh-ul-Alam,Poetry & Literature,Kashmiri,,,
545,Kalash Dictionary,Unknown,Reference Works,Kalash/English,,,
546,Kasas-ul-Ambiya Vol 1,Unknown,Religion & Philosophy,Urdu,,,
547,Kashi Ruv Te Hikch Baath,JK Cultural Academy,Poetry & Literature,Kashmiri,,,
548,Kashir Adabich Tareekh,Avatar Krishna Rahbar,Academic & Research,Kashmiri,,,
549,Kashir Grammar,Shafi Shouq,Language & Linguistics,English/Kashmiri,,,
550,Kashir Luke Baath,Ghulam Nabi Nazir,Poetry & Literature,Kashmiri,,,
551,Kashir Sargam,JK Cultural Academy,Poetry & Literature,Kashmiri,,,
552,Kashir Shiraza (Aug 1965),JK Cultural Academy,Poetry & Literature,Kashmiri,,,
553,Kashiri Ajayabat,JK Cultural Academy,"Art, Culture & Archaeology",Kashmiri,,,
554,Kashir Vol 1,G.M.D. Sofi,History,English,,,
555,Kashir Vol 2,G.M.D. Sofi,History,English,,,
556,Kashir Shair Zaiche Anhaar 2014,Unknown,Poetry & Literature,Urdu,,,
557,Kashir u Naz,Avtar Krishna Rahbar,Poetry & Literature,Kashmiri,,,
558,Kashmakash,Chaudhary Ghulam Abbas,Biography/Memoir,Urdu,,,
559,Kashmir (کشمیر),Chiragh Hassan Hasrat,Poetry & Literature,Urdu,,,
560,Kashmir: A Disputed Legacy 1846-1990,Alastair Lamb,History,English,https://archive.org/details/burzahom-kashir-vol-1,https://archive.org/services/img/burzahom-kashir-vol-1,https://archive.org/download/burzahom-kashir-vol-1/burzahom-kashir-vol-1.pdf
561,Kashmir: The Untold Story of Men and Matters,B.L. Kak,Politics & Law,English,,,
562,Kashmir: The Unwritten History,Christopher Snedden,History,English,,,
563,Kashmir: A Case for Self Determination,Hafsa Kanjwal,Politics & Law,English,,,
564,Kashmir: A Lost Paradise,Khalid Akhtar,History,English,,,
565,Kashmir: A Walk Through History,Khalid Bashir Ahmad,History,English,,,
566,Kashmir Aatish-e-Zairpaa,Hassan Zainagari,Poetry & Literature,Urdu,,,
567,Kashmir Accession: A Farce Tale,Shabnum Qayoom,History,English,,,
568,Kashmir and Kashghar,H.W. Bellew,Travelogue,English,https://archive.org/details/burzahom-kashmir-rage-and-reason,https://archive.org/services/img/burzahom-kashmir-rage-and-reason,https://archive.org/download/burzahom-kashmir-rage-and-reason/burzahom-kashmir-rage-and-reason.pdf
569,Kashmir as Fragments of My Diary,Omer Aijazi,Biography/Memoir,English,,,
570,Kashmir Behind the Vale,M.J. Akbar,Politics & Law,English,,,
571,Kashmir Bibliography,Unknown,Reference Works,English,https://archive.org/details/burzahom-farooq-abdullah-kashmirs-prodigal-son--a-biography,https://archive.org/services/img/burzahom-farooq-abdullah-kashmirs-prodigal-son--a-biography,https://archive.org/download/burzahom-farooq-abdullah-kashmirs-prodigal-son--a-biography/burzahom-farooq-abdullah-kashmirs-prodigal-son--a-biography.pdf
572,Kashmir,Chiragh Hassan Hasrat,Poetry & Literature,Urdu,https://archive.org/details/burzahom-kashmir,https://archive.org/services/img/burzahom-kashmir,https://archive.org/download/burzahom-kashmir/burzahom-kashmir.pdf
573,Kashmir,Francis Younghusband,Travelogue,English,,,
574,Kashmir Caged August 2019,Unknown,Human Rights & Conflict,English,,,
575,Kashmir Conflict: The Nationalistic Perspective,Unknown,Politics & Law,English,,,
576,Kashmir Conflict as War Journalism,Lee and Maslog,Journalism & Media,English,https://archive.org/details/burzahom-kashmir-conflict-as-war-journalism,https://archive.org/services/img/burzahom-kashmir-conflict-as-war-journalism,https://archive.org/download/burzahom-kashmir-conflict-as-war-journalism/burzahom-kashmir-conflict-as-war-journalism.pdf
577,Kashmir Conspiracy Case,Abdullah,Politics & Law,English,https://archive.org/details/burzahom-kashmir-conspiracy-case,https://archive.org/services/img/burzahom-kashmir-conspiracy-case,https://archive.org/download/burzahom-kashmir-conspiracy-case/burzahom-kashmir-conspiracy-case.pdf
578,Kashmir: Desolation or Peace,Majid A. Siraj,Politics & Law,English,,,
579,Kashmir Diaspora Mobilizations,Hafsa Kanjwal,Academic & Research,English,,,
580,Kashmir First,Mohammad Ashraf,Politics & Law,English,https://archive.org/details/burzahom-kashmir-first,https://archive.org/services/img/burzahom-kashmir-first,https://archive.org/download/burzahom-kashmir-first/burzahom-kashmir-first.pdf
581,Kashmir Historiographer,Fazili,History,English,https://archive.org/details/burzahom-kashmir-bibliography,https://archive.org/services/img/burzahom-kashmir-bibliography,https://archive.org/download/burzahom-kashmir-bibliography/burzahom-kashmir-bibliography.pdf
582,Kashmir Human Rights Updates January 2024,Unknown,Human Rights & Conflict,English,,,
583,Kashmir in Comparative Perspective,Sten Widmalm,Politics & Law,English,https://archive.org/details/burzahom-kashmir-in-comparative-perspective,https://archive.org/services/img/burzahom-kashmir-in-comparative-perspective,https://archive.org/download/burzahom-kashmir-in-comparative-perspective/burzahom-kashmir-in-comparative-perspective.pdf
584,Kashmir In Conflict,Victoria Schofield,Politics & Law,English,https://archive.org/details/burzahom-kashmir-prediliction,https://archive.org/services/img/burzahom-kashmir-prediliction,https://archive.org/download/burzahom-kashmir-prediliction/burzahom-kashmir-prediliction.pdf
585,Kashmir in Flames,Sanaullah Bhat,Politics & Law,English,https://archive.org/details/burzahom-kashmir-in-flames,https://archive.org/services/img/burzahom-kashmir-in-flames,https://archive.org/download/burzahom-kashmir-in-flames/burzahom-kashmir-in-flames.pdf
586,Kashmir in Sunlight and Shade,Tyndale Biscoe,Travelogue,English,https://archive.org/details/burzahom-kashmir-in-security-council,https://archive.org/services/img/burzahom-kashmir-in-security-council,https://archive.org/download/burzahom-kashmir-in-security-council/burzahom-kashmir-in-security-council.pdf
587,Kashmir in the Shadow of War,Unknown,Politics & Law,English,https://archive.org/details/burzahom-jammu-and-kashmir-on-the-eve-of-partition,https://archive.org/services/img/burzahom-jammu-and-kashmir-on-the-eve-of-partition,https://archive.org/download/burzahom-jammu-and-kashmir-on-the-eve-of-partition/burzahom-jammu-and-kashmir-on-the-eve-of-partition.pdf
588,Kashmir Jal Raha Hai,M. Iqbal Shams,Politics & Law,Urdu,,,
589,Kashmir Ki 5 Hazaar Sala Tarikh,G.M. Mir,History,Urdu,,,
590,Kashmir: Looking Back in Time,Khalid Bashir Ahmad,History,English,https://archive.org/details/burzahom-kashir-vol-2,https://archive.org/services/img/burzahom-kashir-vol-2,https://archive.org/download/burzahom-kashir-vol-2/burzahom-kashir-vol-2.pdf
591,Kashmir Mai Urdu,Unknown,Language & Linguistics,Urdu,,,
592,Kashmir On Trial,Sheikh Abdullah,Politics & Law,English,https://archive.org/details/burzahom-kashmir-on-trial,https://archive.org/services/img/burzahom-kashmir-on-trial,https://archive.org/download/burzahom-kashmir-on-trial/burzahom-kashmir-on-trial.pdf
593,Kashmir Papers: British Intervention In Kashmir,Unknown,History,English,,,
594,Kashmir Prediction,Fazili,Politics & Law,English,,,
595,"Kashmir: Roots of Conflict, Paths to Peace",Sumantra Bose,Politics & Law,English,https://archive.org/details/burzahom-kashmir-archaeology,https://archive.org/services/img/burzahom-kashmir-archaeology,https://archive.org/download/burzahom-kashmir-archaeology/burzahom-kashmir-archaeology.pdf
596,Kashmir: The Bermuda Triangle of India,Sharad Mohan,Politics & Law,English,,,
597,Kashmir Through the Ages,Unknown,History,English,,,
598,Kashmir: Towards Insurgency,Balraj Puri,Politics & Law,English,https://archive.org/details/burzahom-kashmir-towards-insurgency,https://archive.org/services/img/burzahom-kashmir-towards-insurgency,https://archive.org/download/burzahom-kashmir-towards-insurgency/burzahom-kashmir-towards-insurgency.pdf
599,Kashmir Under The Shadow Of The Gun,Rao Farman Ali,Politics & Law,English,,,
600,Kashmir Under the Sultans,Mohibbul Hasan,History,English,https://archive.org/details/burzahom-kashir-luke-baath,https://archive.org/services/img/burzahom-kashir-luke-baath,https://archive.org/download/burzahom-kashir-luke-baath/burzahom-kashir-luke-baath.pdf
601,Kashmir Visitors Rules - Dogra Period,Unknown,Government Documents & Reports,English,,,
602,"Kashmir, 1947: Rival Versions of History",Prem Shankar Jha,History,English,https://archive.org/details/burzahom-kashmir-1947-rival-versions-of-history,https://archive.org/services/img/burzahom-kashmir-1947-rival-versions-of-history,https://archive.org/download/burzahom-kashmir-1947-rival-versions-of-history/burzahom-kashmir-1947-rival-versions-of-history.pdf
603,Kashmir: The Vajpayee Years,A.S. Dulat,Politics & Law,English,https://archive.org/details/burzahom-kashir-u-naz,https://archive.org/services/img/burzahom-kashir-u-naz,https://archive.org/download/burzahom-kashir-u-naz/burzahom-kashir-u-naz.pdf
604,Kashmir and Tibet,Knight,Travelogue,English,,,
605,Kashmir Me Amn,Maulana Wahiuddin Khan,Religion & Philosophy,Urdu,,,
606,Kashmir: Myth of Normalcy,Yale Law School,Human Rights & Conflict,English,,,
607,Kashmir Situation Report IFJ 2017,IFJ,Journalism & Media,English,,,
608,Kashmiri Adab o Saqafat,Unknown,"Art, Culture & Archaeology",Urdu,,,
609,Kashmiri Futures,Ather Zia,Academic & Research,English,,,
610,Kashmiri Literature,Jia Lal Kaul,Academic & Research,English,,,
611,Kashmiri Lyrics,J.L. Kaul,Poetry & Literature,English,https://archive.org/details/burzahom-kashmir-legacy,https://archive.org/services/img/burzahom-kashmir-legacy,https://archive.org/download/burzahom-kashmir-legacy/burzahom-kashmir-legacy.pdf
612,Kashmiri Poetry History,Shafi Shauq,Academic & Research,English,,,
613,Kashmiri Proverbs,Anand Koul,Language & Linguistics,English,,,
614,Kashmiri Riddles,Anand Koul,Language & Linguistics,English,,,
615,Kashmiri Pandit Surnames with Gotras,Unknown,Reference Works,English,,,
616,Kashmiris Fight for Freedom Vol 2 (1947-1978),Saraf,History,English,,,
617,Kashmiris with Jewish Roots,Unknown,History,English,,,
618,Kashmiriyat,Madanjeet Singh,"Art, Culture & Archaeology",English,,,
619,Kashmiri Nationalism 1989-2016,Unknown,Academic & Research,English,,,
620,Kashmiri Pandit Agenda After A Decade Of Exile,Panun Kashmir Movement,Politics & Law,English,,,
621,Kashmiri Poets and Poetesses,Unknown,Academic & Research,English,,,
622,Kashmiri Society as Reflected in Folk Literature,Unknown,Academic & Research,English,,,
623,Kashmir's Contribution to Buddhism,Unknown,Religion & Philosophy,English,https://archive.org/details/burzahom-a-contribution-on-muhammadan-architecture-in-kashmir,https://archive.org/services/img/burzahom-a-contribution-on-muhammadan-architecture-in-kashmir,https://archive.org/download/burzahom-a-contribution-on-muhammadan-architecture-in-kashmir/burzahom-a-contribution-on-muhammadan-architecture-in-kashmir.pdf
624,Kashmir Shaivism,Unknown,Religion & Philosophy,English,https://archive.org/details/burzahom-kashmakash,https://archive.org/services/img/burzahom-kashmakash,https://archive.org/download/burzahom-kashmakash/burzahom-kashmakash.pdf
625,Kashmir's Contested Pasts,Unknown,History,English,,,
626,Kashmir's Internet Siege,JKCCS,Human Rights & Conflict,English,,,
627,Kashmir's Transition to Islam,M. Ishaq Khan,History,English,,,
628,Kashmir Wildflowers,Unknown,Natural Sciences,English,,,
629,Kashmir: Exposing the Myth Behind the Narrative,Unknown,Politics & Law,English,https://archive.org/details/burzahom-kashmiri-proverbs,https://archive.org/services/img/burzahom-kashmiri-proverbs,https://archive.org/download/burzahom-kashmiri-proverbs/burzahom-kashmiri-proverbs.pdf
630,Kashmir 2019: News Behind the Barbed Wire,Unknown,Journalism & Media,English,,,
631,Kashmir and Palestine: Archives of Coloniality,Unknown,Academic & Research,English,,,
632,Kashmir and the Future of South Asia,Sugata Bose & Ayesha Jalal,Politics & Law,English,https://archive.org/details/burzahom-kashmir-legacy,https://archive.org/services/img/burzahom-kashmir-legacy,https://archive.org/download/burzahom-kashmir-legacy/burzahom-kashmir-legacy.pdf
633,Kashmir: An Historical Introduction,James P. Ferguson,History,English,,,
634,"Kashmir Art, Architecture and Tourism",Suresh K. Sharma & S.R. Bakshi,"Art, Culture & Archaeology",Urdu,,,
635,Kashmir as a Borderland,Dr. Antía,Academic & Research,English,,,
636,Kashmir Conflict,Unknown,Politics & Law,English,https://archive.org/details/burzahom-kashmir-conflict,https://archive.org/services/img/burzahom-kashmir-conflict,https://archive.org/download/burzahom-kashmir-conflict/burzahom-kashmir-conflict.pdf
637,Kashmir Conflict: A Study of What Led to Insurgency,Unknown,Politics & Law,English,,,
638,Kashmir Conspiracy Case Report,Mirza Mohammad,Government Documents & Reports,English,,,
639,"Kashmir: History, Politics, Representation",Chitralekha Zutshi,History,English,,,
640,Kashmir History and Politics 1846-1983: Bibliography,Unknown,Reference Works,English,,,
641,Kashmir Information Ministry GOI 1956,"Ministry of Information, GOI",Government Documents & Reports,English,,,
642,Kashmir in India and Pakistan Policies,Piotr Balcerowicz,Politics & Law,English,,,
643,Kashmir Mai Urdu,Prof. Abdul Qadir Sarwari,Language & Linguistics,Urdu,,,
644,Kashmir Media Policy: Accentuating the Curbs,Unknown,Journalism & Media,English,,,
645,Kashmir Mental Health Survey Report 2015,Unknown,Academic & Research,English,,,
646,Kashmir Shaiva Mata,B.N. Kalla,Religion & Philosophy,Kashmiri,,,
647,Kashmir Switched Off Ground Report Sep 2019,Unknown,Human Rights & Conflict,English,,,
648,Kashmir: The Case for Freedom,"Tariq Ali, Hilal Bhatt, Arundhati Roy",Politics & Law,English,https://archive.org/details/burzahom-kashmir-behind-the-vale,https://archive.org/services/img/burzahom-kashmir-behind-the-vale,https://archive.org/download/burzahom-kashmir-behind-the-vale/burzahom-kashmir-behind-the-vale.pdf
649,Kashmir: The Challenges to Non-Violent Movement,Ershad Mahmud,Politics & Law,English,,,
650,Kashmir: The Land of Streams and Solitudes,H.R. Pirie,Travelogue,English,,,
651,Kashmir: The Undeniable Truth,Unknown,Politics & Law,English,,,
652,Kashmir Women Empowerment and National Conference,Shahzada Akhter,Academic & Research,English,https://archive.org/details/burzahom-kashmir-me-amn,https://archive.org/services/img/burzahom-kashmir-me-amn,https://archive.org/download/burzahom-kashmir-me-amn/burzahom-kashmir-me-amn.pdf
653,Katreh Manz Kath,Amin Kamil,Poetry & Literature,Kashmiri,,,
654,KH Khursheed Ki Yadein,Ghulam Rasool Sindhu,Biography/Memoir,Urdu,,,
655,Khaas Ahsaan,Prof. Margoob Banihaali,Poetry & Literature,Urdu,,,
656,Kashmir Holocaust,Khalid Hassan,Human Rights & Conflict,English,https://archive.org/details/burzahom-hoon,https://archive.org/services/img/burzahom-hoon,https://archive.org/download/burzahom-hoon/burzahom-hoon.pdf
657,"Khalid Bashir Ahmad: Shakhs, Shair Aur Adeeb",Jawed Anwar (Compiler),Biography/Memoir,Urdu,,,
658,Khalistan & Kashmir: A Tale of Two Conflicts,Unknown,Politics & Law,English,https://archive.org/details/burzahom-jalta-hua-kashmir,https://archive.org/services/img/burzahom-jalta-hua-kashmir,https://archive.org/download/burzahom-jalta-hua-kashmir/burzahom-jalta-hua-kashmir.pdf
659,Khayaa Baan Kashmir,Ghulam Nabi Khayal,Poetry & Literature,Urdu,,,
660,Khayabaan,Qazi Hilal Dilnovi,Poetry & Literature,Urdu,,,
661,Kashmir Behind the White Curtain (1972),Khem Lata Wakhlu & O.N. Wakhlu,Biography/Memoir,English,,,
662,Kidnapped: 45 Days with Militants,Khem Lata Wakhlu & O.N. Wakhlu,Biography/Memoir,English,,,
663,Khush Biye,Manoj Sheeren,Poetry & Literature,Kashmiri,,,
664,King Lear in Kashmiri,Shakespeare (Trans.),Fiction,Kashmiri,,,
665,"Gul Gulshan Gulfam: A Man, His Houseboats",Pran Kishore,Biography/Memoir,English,https://archive.org/details/burzahom-gul-gulshan-gulfam-a-man-his-houseboats,https://archive.org/services/img/burzahom-gul-gulshan-gulfam-a-man-his-houseboats,https://archive.org/download/burzahom-gul-gulshan-gulfam-a-man-his-houseboats/burzahom-gul-gulshan-gulfam-a-man-his-houseboats.pdf
666,Kitab Dareeha,Unknown,Poetry & Literature,Urdu/Kashmiri,,,
667,Knowing in Our Own Ways: Women and Kashmir,Unknown,Academic & Research,English,,,
668,KP Vol 5 Mar-Apr 1993,Unknown,Periodical,English,,,
669,KP Vol 6 Jun 1994,Unknown,Periodical,English,,,
670,KP Vol 6 Nov-Dec 1994,Unknown,Periodical,English,,,
671,KP Vol 7 Jan-Feb 1995,Unknown,Periodical,English,,,
672,The Culture of Kashmir,Krishan Lal Kalla & S.M. Ikbal,"Art, Culture & Archaeology",English,,,
673,Early Medieval History of Kashmir,Krishna Mohan,History,English,,,
674,Independent Kashmir - An Incomplete Aspiration,Christopher Snedden,Politics & Law,English,,,
675,INDIA 2020 HUMAN RIGHTS REPORT,Unknown,Human Rights & Conflict,English,,,
676,"India, Pakistan and the Secret Jihad",Praveen Swami,Politics & Law,English,,,
677,"India - Torture, Rape and Deaths in Custody",Unknown,Human Rights & Conflict,English,,,
678,Indian Kashmir - Freedom in the World 2022,Unknown,Human Rights & Conflict,English,,,
679,India's Potential Endgame In Kashmir,Unknown,Politics & Law,English,,,
680,India's War Crimes in Kashmir,Unknown,Human Rights & Conflict,English,,,
681,India's Sniper War Against Civilians,Unknown,Human Rights & Conflict,English,,,
682,Influence of Tajik Language on Kashmiri Language,Unknown,Language & Linguistics,English,,,
683,Inkashaaf,Mohd Sultan Alhaq,Poetry & Literature,Urdu,,,
684,"Muslim Women, Agency and Resistance Politics",Inshah Malik,Academic & Research,English,,,
685,Inside Kashmir,Prem Nath Bazaz,Politics & Law,English,,,
686,Inside Indian-Held Kashmir,Unknown,Human Rights & Conflict,English,,,
687,Inside Occupied Kashmir Today,Unknown,Human Rights & Conflict,English,,,
688,Inter-communal Relations Jammu and Kashmir,Nirmal Singh,Academic & Research,English,,,
689,Internet Shutdown in Digital India,Human Rights Watch,Human Rights & Conflict,English,,,
690,Internet Shutdown in Kashmir,American Bar Association,Human Rights & Conflict,English,,,
691,Involvement of Adolescents in Armed Conflict,Unknown,Human Rights & Conflict,English,,,
692,In Search of Return - Mourning the Disappearances in Kashmir,Shifa,Human Rights & Conflict,English,,,
693,In the Valley of Mist - Kashmir's Long War,Unknown,Biography/Memoir,English,,,
694,Iqbal Aur Tehreek-e-Azadi-e-Kashmir,Unknown,Politics & Law,Urdu,,,
695,Iqbal Aur Kashmir,Dr. Saber Afaqi,Academic & Research,Urdu,,,
696,Kashmir Archeology,Sheikh Mohammed Usman,"Art, Culture & Archaeology",English,,,
697,Issues and Problems Faced by Children in Conflict,Unknown,Human Rights & Conflict,English,,,
698,J&K Tourism Directory 1984,Directorate of Tourism,Reference Works,English,,,
699,Jaam-e-Erfaan,Meerak Shah Kashani,Poetry & Literature,Persian/Urdu,,,
700,Red Menace in Kashmir,Jagan Nath Sathu,Politics & Law,English,,,
701,Jahaan-E-Khayal,Ghulam Nabi Khayal,Poetry & Literature,Urdu,,,
702,Jahan-Hamad-O-Naat Volume 2,Unknown,Poetry & Literature,Urdu,,,
703,Jalta Hua Kashmir,Sorya Khursheed,Politics & Law,Urdu,,,
704,Jama Masjid Srinagar,Anjuman Auqaf,"Art, Culture & Archaeology",Urdu,,,
705,Jammu - Kashmir - Ladakh,Parvez Dewan,Travelogue,English,,,
706,Jammu and Kashmir,Jyoti Bhusan Das Gupta,History,English,,,
707,Jammu Fox,Unknown,Fiction,English,,,
708,Jammu Kashmir ki Jugrafeyai Haqiqatn,G.M. Mir,Reference Works,Urdu,,,
709,Jammu - Bloodied Rivers of Kashmir,Unknown,Human Rights & Conflict,English,,,
710,Jammu and Kashmir on the Eve of Partition,Unknown,History,English,,,
711,Jang Te Aman Vol 01 (War and Peace),Leo Tolstoy (Trans.),Fiction,Kashmiri,,,
712,Jang Te Aman Vol 02 (War and Peace),Leo Tolstoy (Trans.),Fiction,Kashmiri,,,
713,Jang Te Aman Vol 03 (War and Peace),Leo Tolstoy (Trans.),Fiction,Kashmiri,,,
714,Jehlim Ka Teesra Kinara,Zahid Mukhtar,Fiction,Urdu,,,
715,Jehnamuk Panun Panun Naar,Akhter Mohiu Deen,Fiction,Kashmiri,,,
716,Jhad-e-Musalsal Vol 1,Amanullah Khan,Biography/Memoir,Urdu,,,
717,Jhad-e-Musalsal Vol 2,Amanullah Khan,Biography/Memoir,Urdu,,,
718,Jhad-e-Musalsal Vol 3,Amanullah Khan,Biography/Memoir,Urdu,,,
719,Jihad-e-Musalsal,Amanullah Khan,Biography/Memoir,Urdu,,,
720,JKCCS Annual Human Rights Review 2017,JKCCS,Human Rights & Conflict,English,,,
721,JKLF Evidence Dossier APPG Inquiry,JKLF,Government Documents & Reports,English,,,
722,Jungi-Deenwar,Unknown,Poetry & Literature,Urdu,,,
723,Jurm Tei Saza,Shamshaad Kralei Waari,Fiction,Urdu,,,
724,Justice Abdul Majeed Malik,Unknown,Biography/Memoir,English,,,
725,J&K Mai Urdu Adab Ki Nashonuma,Unknown,Academic & Research,Urdu,,,
726,Buddhism in Kashmir & Ladakh,J.N. Ganhar & P.N. Ganhar,Religion & Philosophy,English,,,
727,Kaashur Imla Tu Amyuk Irtiqa,Syed Rasool Pompur,Language & Linguistics,Urdu,,,
728,Kahani Kahar Kahar Di,Abdul Rasheed Lone,Fiction,Kashmiri,,,
729,Kahani Ghar Ghar Di (Pahari Drame),Abdul Rashid Lone,Fiction,Pahari,,,
730,Kalaam (Bai Nuqteh),Ayub Sabir,Poetry & Literature,Urdu,,,
